[cfg] {"img_size": 224, "batch_size": 64, "num_workers": 8, "epochs": 60, "lr": 0.0003, "weight_decay": 1e-06, "momentum_base": 0.996, "max_images": null, "save_every": 5, "no_amp": false, "smoke": false}
[env] device=cuda, torch=2.6.0+cu124
[env] GPU=NVIDIA GeForce RTX 3060 Laptop GPU, VRAM=6.4 GB
[data] tong so anh: 112120
[model] trainable params = 12.49 M
[env] AMP = True
  [ep 13 step 550/1751] loss=0.0376
  [ep 13 step 600/1751] loss=0.0510
  [ep 13 step 650/1751] loss=0.0400
  [ep 13 step 700/1751] loss=0.0404
  [ep 13 step 750/1751] loss=0.0417
  [ep 13 step 800/1751] loss=0.0357
  [ep 13 step 850/1751] loss=0.0381
  [ep 13 step 900/1751] loss=0.0467
  [ep 13 step 950/1751] loss=0.0384
  [ep 13 step 1000/1751] loss=0.0346
  [ep 13 step 1050/1751] loss=0.0386
  [ep 13 step 1100/1751] loss=0.0441
  [ep 13 step 1150/1751] loss=0.0394
  [ep 13 step 1200/1751] loss=0.0411
  [ep 13 step 1250/1751] loss=0.0336
  [ep 13 step 1300/1751] loss=0.0345
  [ep 13 step 1350/1751] loss=0.0434
  [ep 13 step 1400/1751] loss=0.0397
  [ep 13 step 1450/1751] loss=0.0395
  [ep 13 step 1500/1751] loss=0.0411
  [ep 13 step 1550/1751] loss=0.0385
  [ep 13 step 1600/1751] loss=0.0450
  [ep 13 step 1650/1751] loss=0.0393
  [ep 13 step 1700/1751] loss=0.0421
  [ep 13 step 1750/1751] loss=0.0400
[ep 013/60] avg_loss=0.0405 momentum=0.9964 time=10.1min eta=474min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 14 step 0/1751] loss=0.0372
  [ep 14 step 50/1751] loss=0.0406
  [ep 14 step 100/1751] loss=0.0407
  [ep 14 step 150/1751] loss=0.0475
  [ep 14 step 200/1751] loss=0.0441
  [ep 14 step 250/1751] loss=0.0502
  [ep 14 step 300/1751] loss=0.0388
  [ep 14 step 350/1751] loss=0.0389
  [ep 14 step 400/1751] loss=0.0407
  [ep 14 step 450/1751] loss=0.0435
  [ep 14 step 500/1751] loss=0.0476
  [ep 14 step 550/1751] loss=0.0390
  [ep 14 step 600/1751] loss=0.0422
  [ep 14 step 650/1751] loss=0.0363
  [ep 14 step 700/1751] loss=0.0441
  [ep 14 step 750/1751] loss=0.0452
  [ep 14 step 800/1751] loss=0.0416
  [ep 14 step 850/1751] loss=0.0444
  [ep 14 step 900/1751] loss=0.0479
  [ep 14 step 950/1751] loss=0.0579
  [ep 14 step 1000/1751] loss=0.0398
  [ep 14 step 1050/1751] loss=0.0389
  [ep 14 step 1100/1751] loss=0.0433
  [ep 14 step 1150/1751] loss=0.0421
  [ep 14 step 1200/1751] loss=0.0363
  [ep 14 step 1250/1751] loss=0.0490
  [ep 14 step 1300/1751] loss=0.0376
  [ep 14 step 1350/1751] loss=0.0416
  [ep 14 step 1400/1751] loss=0.0469
  [ep 14 step 1450/1751] loss=0.0432
  [ep 14 step 1500/1751] loss=0.0411
  [ep 14 step 1550/1751] loss=0.0460
  [ep 14 step 1600/1751] loss=0.0416
  [ep 14 step 1650/1751] loss=0.0350
  [ep 14 step 1700/1751] loss=0.0420
  [ep 14 step 1750/1751] loss=0.0481
[ep 014/60] avg_loss=0.0418 momentum=0.9964 time=10.1min eta=464min
  [ep 15 step 0/1751] loss=0.0456
  [ep 15 step 50/1751] loss=0.0410
  [ep 15 step 100/1751] loss=0.0431
  [ep 15 step 150/1751] loss=0.0408
  [ep 15 step 200/1751] loss=0.0447
  [ep 15 step 250/1751] loss=0.0447
  [ep 15 step 300/1751] loss=0.0527
  [ep 15 step 350/1751] loss=0.0396
  [ep 15 step 400/1751] loss=0.0456
  [ep 15 step 450/1751] loss=0.0477
  [ep 15 step 500/1751] loss=0.0431
  [ep 15 step 550/1751] loss=0.0480
  [ep 15 step 600/1751] loss=0.0452
  [ep 15 step 650/1751] loss=0.0413
  [ep 15 step 700/1751] loss=0.0436
  [ep 15 step 750/1751] loss=0.0412
  [ep 15 step 800/1751] loss=0.0490
  [ep 15 step 850/1751] loss=0.0417
  [ep 15 step 900/1751] loss=0.0455
  [ep 15 step 950/1751] loss=0.0413
  [ep 15 step 1000/1751] loss=0.0478
  [ep 15 step 1050/1751] loss=0.0424
  [ep 15 step 1100/1751] loss=0.0416
  [ep 15 step 1150/1751] loss=0.0428
  [ep 15 step 1200/1751] loss=0.0431
  [ep 15 step 1250/1751] loss=0.0396
  [ep 15 step 1300/1751] loss=0.0377
  [ep 15 step 1350/1751] loss=0.0410
  [ep 15 step 1400/1751] loss=0.0383
  [ep 15 step 1450/1751] loss=0.0396
  [ep 15 step 1500/1751] loss=0.0444
  [ep 15 step 1550/1751] loss=0.0412
  [ep 15 step 1600/1751] loss=0.0459
  [ep 15 step 1650/1751] loss=0.0476
  [ep 15 step 1700/1751] loss=0.0423
  [ep 15 step 1750/1751] loss=0.0422
[ep 015/60] avg_loss=0.0437 momentum=0.9965 time=10.4min eta=468min
[save] backbone -> xray_byol_backbone.pth (44.8 MB)
  [ep 16 step 0/1751] loss=0.0568
  [ep 16 step 50/1751] loss=0.0398
  [ep 16 step 100/1751] loss=0.0439
  [ep 16 step 150/1751] loss=0.0449
